Name,Category,Review,Review Count
Kimber Modern,Hotels,5.0,158
JW Marriott Austin,"Hotels, Venues & Event Spaces",4.0,580
Hotel San José,Hotels,4.0,415
Hyatt Place Austin Downtown,"Hotels, Venues & Event Spaces",4.0,229
Hampton Inn & Suites Austin @ The University/Capitol,Hotels,4.5,133
"The Otis Hotel Austin, Autograph Collection","Hotels, Venues & Event Spaces",4.0,55
The Driskill,"Hotels, Venues & Event Spaces",4.0,610
Archer Hotel Austin,"Hotels, Venues & Event Spaces",4.5,192
Hotel ZaZa - Austin,"Hotels, Venues & Event Spaces",4.0,98
Reserve at Lake Travis,Resorts,4.5,17
The Ruby Hotel & Bar,"Hotels, Venues & Event Spaces, Cocktail Bars",4.5,138
Colton House,Hotels,4.5,22
Omni Barton Creek Resort & Spa,"Hotels, Resorts, Golf",3.5,284
Fairmont Austin,"Hotels, Venues & Event Spaces",4.0,561
The Westin Austin Downtown,"Hotels, Venues & Event Spaces",3.5,264
Hotel Van Zandt,"Hotels, Venues & Event Spaces, Wedding Planning",3.5,408
The Carpenter Hotel,"Hotels, Venues & Event Spaces",4.0,71
Lone Star Court,"Hotels, Venues & Event Spaces",4.0,272
Cypress Valley,"Venues & Event Spaces, Hotels",4.5,90
Residence Inn by Marriott Austin Lake Austin/River Place,"Hotels, Venues & Event Spaces",4.5,40
Hancock Guest Cottages,"Hotels, Guest Houses, Vacation Rentals",5.0,9
ARRIVE Austin,Hotels,4.0,47
Drury Inn & Suites Austin North,Hotels,4.5,95
Hotel Viata Austin,Hotels,3.5,200
East Austin Hotel,Hotels,4.0,65
Courtyard by Marriott Austin Downtown/Convention Center,"Hotels, Venues & Event Spaces",3.5,160
Hampton Inn Austin/Oak Hill,Hotels,4.0,35
Hyatt Regency Lost Pines Resort and Spa,"Hotels, Venues & Event Spaces",3.5,396
Hotel Saint Cecilia,Hotels,4.0,73
Element Austin Downtown,"Hotels, Venues & Event Spaces",4.0,86
The Westin Austin at The Domain,"Hotels, Venues & Event Spaces",3.5,251
Residence Inn by Marriott Austin Northwest/The Domain Area,"Hotels, Venues & Event Spaces",4.5,26
La Villa Vista,Bed & Breakfast,3.5,30
The Famous Floathouse,Guest Houses,5.0,6
Austin Motel,Hotels,3.5,187
AC Hotel Austin Hill Country,Hotels,4.5,16
Aloft Austin at The Domain,"Hotels, Venues & Event Spaces",3.5,168
Miraval Austin Resort & Spa,Resorts,4.0,70
The Retreat at Crystal Creek,"Venues & Event Spaces, Resorts, Vacation Rentals",5.0,2
The Yurtopian,Resorts,5.0,14
