Name,Category,Review,Review Count
Mister O1 Dallas,"Pizza, Italian, Salad",4.5,239
Hungry Belly,"Japanese, Korean, Sushi Bars",4.5,497
Naminohana,"Sushi Bars, Japanese",4.5,43
Moriya Shokudo,"Food Court, Ramen, Japanese Curry",5.0,26
Pecan Lodge,"Sandwiches, Barbeque, Southern",4.5,6428
Margaret's,"Bars, Breakfast & Brunch, American (New)",4.5,5
Mike's Chicken,Chicken Shop,4.5,1649
Plomo Quesadilla Bar,"Mexican, Bars",4.0,9
K Pop Ramen,"Ramen, Korean",4.5,346
Pho Vietz,Vietnamese,4.5,30
Terry Black's Barbecue,Barbeque,4.5,1823
Rodeo Goat,"Burgers, Beer Bar",4.5,2769
WAYA Japanese Izakaya,Japanese,4.5,157
JOA Korean BBQ,"Korean, Cocktail Bars, Barbeque",4.5,96
Palmer's,"Southern, Comfort Food, Food Trucks",4.5,323
Meso Maya Comida y Copas,"Mexican, New Mexican Cuisine, Cocktail Bars",4.5,2951
Fortune House,Chinese,3.5,176
Hello Dumpling,"Chinese, Bubble Tea, Noodles",4.0,47
Roti,"Mediterranean, Salad, Sandwiches",4.5,38
il Bracco,Italian,4.5,336
Bushi Bushi,Dim Sum,4.0,230
Lyla,"Italian, Mediterranean",4.0,76
Ngon Vietnamese Kitchen,"Vietnamese, Noodles",4.5,369
The Honor Bar,"American (Traditional), Bars",4.0,305
Hawkers Asian Street Food,"Pan Asian, Tapas/Small Plates",4.5,39
Wabi House,"Ramen, Bars, Tapas/Small Plates",4.5,1705
Komodo - Dallas,"Asian Fusion, Cocktail Bars",3.5,193
rise soufflé - Dallas,"French, Wine Bars, Desserts",4.5,1865
Hot Stone & Korean Kitchen,Korean,5.0,29
Dallas Grilled Cheese Co,"American (Traditional), Sandwiches",4.0,323
Invasion,"Halal, Burgers, Chicken Shop",4.5,500
Burger Schmurger,"Pop-Up Restaurants, Burgers",4.0,17
Komé,Sushi Bars,5.0,130
Hawkers Asian Street Food,"Pan Asian, Tapas/Small Plates",4.5,581
Via Triozzi,"Italian, Desserts, Bars",4.5,25
Shug's Bagels,Bagels,4.0,415
The Exchange Hall,Food Court,4.5,68
Toridori,"Bubble Tea, Korean",5.0,43
Spice Wok,"Chicken Shop, Noodles, Asian Fusion",5.0,26
Dea,Italian,4.0,36
