Name,Category,Review,Review Count
The Village Drey Hotel,Hotels,5.0,10
"The Highland Dallas, Curio Collection by Hilton",Hotels,4.0,238
The Lumen,"Hotels, Venues & Event Spaces",3.5,109
Omni Dallas Hotel,"Hotels, Venues & Event Spaces",3.5,646
The Joule - Dallas,"Hotels, Venues & Event Spaces",4.0,329
"The Ritz-Carlton, Dallas","Hotels, Venues & Event Spaces",4.0,192
Marriott Dallas Uptown,Hotels,4.0,27
Hotel ZaZa Dallas,"Hotels, Venues & Event Spaces",4.0,373
DoubleTree by Hilton Hotel Dallas - Campbell Centre,Hotels,3.0,136
Canopy by Hilton Dallas Uptown,"Hotels, Venues & Event Spaces",4.0,100
"The Statler Dallas, Curio Collection by Hilton",Hotels,3.0,282
Rosewood Mansion on Turtle Creek,Hotels,4.0,230
Lorenzo Hotel,Hotels,4.0,212
Omni Amelia Island Resort,"Hotels, Resorts, Golf",3.0,329
DoubleTree by Hilton Hotel Dallas - Love Field,Hotels,3.5,59
Hilton Dallas/Park Cities,Hotels,3.0,88
Hampton Inn & Suites Dallas Downtown,Hotels,3.5,75
The Beeman Hotel,Hotels,2.5,79
"Homewood Suites by Hilton Dallas Downtown, TX",Hotels,3.5,88
The Westin Galleria Dallas,"Hotels, Venues & Event Spaces",4.0,209
Courtyard Dallas Carrollton and Carrollton Conference Center,Hotels,4.0,26
Hampton Inn & Suites Dallas - Central Expy North Park Area,Hotels,3.0,32
Sova,Hotels,4.0,22
Stone Canyon Ranch and Cabin,Resorts,4.5,7
Gaylord Texan Resort & Convention Center,"Hotels, Venues & Event Spaces",3.0,1143
Marriott Dallas/Fort Worth Westlake,"Hotels, Venues & Event Spaces",3.5,83
Courtyard by Marriott,Hotels,3.5,27
The Gaston,Hotels,5.0,6
Hampton Inn & Suites Dallas Market Center,Hotels,3.0,48
Omni Las Colinas Hotel,"Hotels, Venues & Event Spaces",3.5,244
The Guild Uptown,Hotels,4.0,11
Warwick Melrose - Dallas,Hotels,3.5,219
Avalon Motel,Hotels,3.5,6
Embassy Suites by Hilton Dallas Love Field,Hotels,2.5,117
Best Western Cityplace Inn,Hotels,2.5,24
Hotel Crescent Court,"Hotels, Venues & Event Spaces",3.5,88
Hyatt Place Dallas North Galleria,"Hotels, Venues & Event Spaces",4.0,96
"HALL Arts Hotel Dallas, Curio Collection by Hilton","Hotels, Venues & Event Spaces",4.0,41
The Adolphus,"Hotels, Venues & Event Spaces",3.5,487
Hilton Garden Inn Dallas Central Expy North Park Area,Hotels,3.5,11
