Name,Category,Review,Review Count
Hi Trendy Dumpling,"Szechuan, Dim Sum, Noodles",4.5,255
The Blind Goat,"Vietnamese, Cocktail Bars, Asian Fusion",4.0,109
Trendy Dumpling,"Noodles, Szechuan, Asian Fusion",4.0,907
One Shot Pocha,"Korean, Soup, Karaoke",4.5,131
Cabo Bob's,Mexican,4.5,262
The Cookshack,"Chicken Shop, Barbeque, Salad",4.5,632
Yuk Dae Jang,"Korean, Noodles, Soup",4.0,42
Stuffed Belly,"Sandwiches, Burgers",4.5,52
The Rice Box,"Asian Fusion, Chinese",4.0,924
Tamashi Ramen and Sushi,"Ramen, Sushi Bars",4.5,641
JOEY Uptown,"American (New), Steakhouses, Bars",4.5,969
Little Patagonia,"Empanadas, Argentine",4.5,33
Reel Seafood & Bar,"Chicken Wings, Seafood, Cajun/Creole",4.5,104
Roostar Vietnamese Grill,"Vietnamese, Sandwiches, Vegetarian",4.5,1097
Tumble 22,"Chicken Shop, Desserts, Sandwiches",4.5,28
Gourmandize,"Food Trucks, Mediterranean, Chicken Wings",4.5,11
Xeo Yum,"Coffee & Tea, Vietnamese",5.0,8
Street Food Thai Market,"Thai, Laotian",4.5,649
Traveler's Table,"Tapas/Small Plates, American (New)",4.5,1637
Yoyo's Hot Dog,"Hot Dogs, Food Stands",5.0,14
Liberty Taco,"Tacos, Breakfast & Brunch",4.5,835
Jun,"American (New), Cocktail Bars",4.0,108
Street to Kitchen,Thai,4.5,279
Las Tortas Perronas,"Mexican, Sandwiches",4.5,609
ZOA Moroccan Kitchen,"Moroccan, Mediterranean, Halal",5.0,7
HTX Sushi Bake,Food Delivery Services,5.0,5
Hughie's,"Vietnamese, Asian Fusion, Beer Bar",4.5,1039
TJ Birria Y Mas,Mexican,4.5,395
Loro Asian Smokehouse & Bar,"Asian Fusion, Smokehouse",4.0,509
The Breakfast Klub,"Breakfast & Brunch, Southern, American (Traditional)",4.5,5941
North Italia,"Pizza, Italian, Cocktail Bars",4.5,2262
Cosmo Eatery - Galleria,"American (Traditional), Pizza, Breakfast & Brunch",4.5,64
GaRoSu Korean BBQ,"Barbeque, Korean",4.5,24
Barnabys Cafe,"Cafes, Breakfast & Brunch, Burgers",4.0,1
Dripped Birria,"Food Trucks, Tacos",3.5,109
Noodle Master - Pearland,"Noodles, Chinese, Ramen",4.0,7
Mico’s Hot Chicken,"Chicken Shop, Sandwiches",4.0,980
iEATS Rice Noodle - Katy,"Chinese, Noodles, Asian Fusion",4.5,22
Kin Dee,"Thai, Noodles, Cocktail Bars",4.5,813
"NoPo Café, Market & Bar","Cafes, Pizza, American (New)",4.0,115
