Name,Category,Review,Review Count
The Post Oak Hotel at Uptown Houston,Hotels,4.0,134
Homewood Suites By Hilton Houston Memorial,Hotels,4.5,19
"The Houstonian Hotel, Club, & Spa",Hotels,4.0,237
Omni Houston Hotel,"Hotels, Venues & Event Spaces",3.0,204
Hampton Inn & Suites Houston Heights I-10,Hotels,3.5,54
Hotel ZaZa Museum District,Hotels,4.0,518
Drury Inn & Suites Houston Near the Galleria,Hotels,4.5,58
The St. Regis Houston,"Hotels, Venues & Event Spaces",4.0,158
Hyatt Regency Houston/Galleria,"Venues & Event Spaces, Hotels",3.5,157
Holiday Inn Express & Suites Houston - Memorial Park Area,"Hotels, Venues & Event Spaces",3.0,36
"The Westin Houston, Memorial City","Hotels, Venues & Event Spaces",3.5,118
Hotel Granduca,Hotels,3.5,113
La Maison In Midtown,Bed & Breakfast,5.0,34
Hotel ZaZa Memorial City,Hotels,4.0,101
Marriott Marquis Houston,"Hotels, Venues & Event Spaces",3.5,573
La Colombe d'Or Hotel,Hotels,4.0,63
Crowne Plaza Houston Galleria Area,"Hotels, Venues & Event Spaces",2.5,104
Four Seasons Hotel Houston,Hotels,4.0,188
JW Marriott Houston by The Galleria,Hotels,3.5,164
Sheraton Houston Brookhollow Hotel,Hotels,3.0,75
Sara's Bed & Breakfast Inn,Bed & Breakfast,4.5,63
Courtyard by Marriott Houston Heights/I-10,Hotels,4.0,25
Courtyard by Marriott Houston Sugar Land/Lake Pointe,"Hotels, Venues & Event Spaces",4.0,19
Hilton Houston Post Oak by the Galleria,Hotels,2.5,216
Embassy Suites by Hilton Houston Downtown,Hotels,4.0,123
Hotel Indigo Houston at the Galleria,"Hotels, Venues & Event Spaces",4.0,144
Holiday Inn Express & Suites Sealy,"Hotels, Venues & Event Spaces",4.0,10
Hampton Inn Houston-Near The Galleria,Hotels,3.5,54
Courtyard by Marriott Houston Northwest/Cypress,Hotels,4.0,12
Home2 Suites by Hilton Houston Energy Corridor,Hotels,4.0,29
Marriott Hotel Houston West Loop By Galleria,"Hotels, Venues & Event Spaces",2.5,114
Comfort Suites Near Westchase On Beltway 8,Hotels,3.0,43
Embassy Suites by Hilton Houston Energy Corridor,Hotels,4.0,106
Holiday Inn Express & Suites Sugar Land SE - Missouri City,"Hotels, Venues & Event Spaces",4.5,8
Days Inn by Wyndham Houston-Galleria TX,Hotels,2.5,16
Courtyard by Marriott Houston Brookhollow,Hotels,2.5,61
Candlewood Suites At Citycentre-Energy Corridor,"Hotels, Venues & Event Spaces",4.5,14
Hyatt Regency Baytown - Houston,"Hotels, Venues & Event Spaces",5.0,4
"The Chifley Houston, Tapestry Collection by Hilton",Hotels,3.0,10
Best Western Plus Waller Hotel,Hotels,5.0,3
