Name,Category,Review,Review Count
Chubby Cattle,"Chinese, Hot Pot, Asian Fusion",4.5,1489
JiangNan,"Chinese, Southern",4.5,15
Cantina La Martina,Mexican,4.5,60
Dalessandro’s Steaks & Hoagies,"Sandwiches, Cheesesteaks",4.0,3238
Barbuzzo,"Mediterranean, Pizza, Italian",4.5,3201
Reading Terminal Market,"Food Court, Public Markets",4.5,6690
Malooga,"Arabic, Middle Eastern, Halal",4.5,106
Suraya,"Lebanese, Specialty Food, Coffee & Tea",4.5,1421
Chubby Bowls,"Chinese, Noodles, Food Delivery Services",4.0,24
Oh Brother Philly,"Cheesesteaks, Burgers, Sandwiches",4.5,804
Nan Zhou Hand Drawn Noodle House,"Chinese, Noodles",4.0,2354
Nanu's Hot Chicken,Chicken Shop,4.0,5
Nan Xiang Xiao Long Bao-Cherry Hill,Dim Sum,4.5,554
My Loup,"American (Traditional), French",4.5,40
Buk Chon Korean Cuisine,"Korean, Asian Fusion",4.5,304
Laser Wolf,Middle Eastern,4.5,367
Kalaya,Thai,4.0,205
Screamin’ Rooster,"Fast Food, Chicken Shop, Halal",4.5,15
Grandmas Philly,"Thai, Tapas/Small Plates, Tapas Bars",4.5,180
Starbolt,"Bars, American (New), Breakfast & Brunch",4.5,8
Elma,Italian,5.0,3
Asad's Hot Chicken,"Chicken Shop, Juice Bars & Smoothies, Burgers",4.0,65
Nam Chon,"Korean, Asian Fusion",5.0,23
Chatayee Thai,"Thai, Vegan, Vegetarian",4.5,313
Jopok Topokki,Korean,5.0,4
The Love,"American (New), Breakfast & Brunch, Burgers",4.5,936
Càphê Roasters,"Coffee Roasteries, Cafes",5.0,116
Cily Chicken Rice,Thai,4.5,130
Glory Beer Bar & Kitchen,"Beer Bar, American (New), Gastropubs",4.5,259
BAR1010,"Cocktail Bars, Pizza, Italian",4.5,24
Trattoria Carina,Italian,4.5,333
Tabachoy,Filipino,4.5,58
El Rancho Viejo,Mexican,4.5,126
Pera Turkish Cuisine,"Turkish, Mediterranean, Seafood",4.5,110
Sunrise 2 Authentic Thai Food,Thai,4.5,32
Brazas BBQ Chicken,"Chicken Shop, Barbeque",4.5,28
Maple Japanese Ramen,Ramen,4.5,133
Pho Mi Rittenhouse,Vietnamese,4.5,56
John's Roast Pork,"Sandwiches, Cheesesteaks",4.5,1783
Corey’s Crafty Vietnamese Cuisine,Vietnamese,5.0,48
