Name,Category,Review,Review Count
Kimpton Hotel Monaco Philadelphia,"Hotels, Venues & Event Spaces, Wedding Planning",4.0,556
Canopy by Hilton Philadelphia Center City,"Hotels, Venues & Event Spaces",4.0,70
Alexander Inn,Hotels,4.0,190
Feather Nest Inn,Hotels,3.0,56
Aloft Philadelphia Downtown,Hotels,3.5,126
Independence Park Hotel,Hotels,4.5,47
Hyatt Centric Center City Philadelphia,"Hotels, Venues & Event Spaces",4.0,59
Four Seasons Hotel Philadelphia at Comcast Center,Hotels,4.0,49
Kimpton Hotel Palomar Philadelphia,"Hotels, Venues & Event Spaces, Wedding Planning",4.0,469
Lokal Hotel Fishtown,Hotels,5.0,4
Residence Inn By Marriott Philadelphia Bala Cynwyd,Hotels,4.0,14
Days Inn by Wyndham Philadelphia - Roosevelt Boulevard,Hotels,1.0,27
The Rittenhouse Hotel,Hotels,4.0,132
Hilton Philadelphia at Penn's Landing,Hotels,3.5,207
Courtyard by Marriott Philadelphia South at The Navy Yard,Hotels,4.0,68
"The Ritz-Carlton, Philadelphia","Hotels, Venues & Event Spaces",3.5,357
Sofitel Philadelphia,Hotels,4.0,410
Motto By Hilton Philadelphia Rittenhouse Square,Hotels,3.5,77
Philadelphia Marriott Downtown,Hotels,3.0,653
The Franklin Residences,"Hotels, Apartments",4.5,16
DoubleTree by Hilton Hotel Philadelphia Center City,Hotels,3.0,360
Hilton Garden Inn Camden Waterfront Philadelphia,Hotels,4.0,18
AVE Blue Bell,"Apartments, Hotels",5.0,14
Pineapple Hill Bed & Breakfast Inn,"Hotels, Bed & Breakfast",5.0,50
"The Notary Hotel, Autograph Collection",Hotels,3.5,311
"The Logan Philadelphia, Curio Collection by Hilton",Hotels,3.5,255
Lokal Hotel,Hotels,4.5,17
Penn's View Hotel,Hotels,4.0,115
Inn of the Dove - Romantic Suites with Jacuzzi & Fireplace,Hotels,3.0,59
The Dwight D,Hotels,4.5,26
Best Western Plus Philadelphia-Pennsauken Hotel,Hotels,4.5,10
AKA Rittenhouse Square,"Hotels, Apartments",4.5,42
Hampton Inn Philadelphia Center City-Convention Center,Hotels,3.5,201
North American Motor Inns,Hotels,1.0,32
Philadelphia Marriott Old City,"Hotels, Venues & Event Spaces",3.0,244
Holiday Inn Express Philadelphia - Penns Landing,"Hotels, Venues & Event Spaces",3.0,100
Marriott Philadelphia West,"Hotels, Venues & Event Spaces",3.5,101
The MAJ Hotel,Hotels,4.0,7
Residence Inn Philadelphia Airport,Hotels,3.5,25
Roosevelt Inn,Hotels,2.0,15
