Name,Category,Review,Review Count
Stuffed,"Mexican, Breakfast & Brunch",4.5,278
Gogi Street,"Korean, Barbeque, Asian Fusion",4.5,867
Krazy Katsu,"Sandwiches, Chicken Shop",4.5,148
Sevin Mediterranean Kitchen,"Turkish, Mediterranean",5.0,32
Tlahco Mexican kitchen,Mexican,4.5,800
Wurst Behavior,"Beer Gardens, Burgers",4.5,32
Savvy Sliders,"Fast Food, Burgers",4.0,63
Gold Feather,"Beer Bar, Chicken Shop, American (Traditional)",4.0,471
LadyBird Beer Garden,"Bars, American (New), Chicken Wings",4.0,64
The Dogfather,"Hot Dogs, Burgers, Beer, Wine & Spirits",4.5,609
Never Late Diner,"American (New), Breakfast & Brunch",2.5,46
The Smoke Shack,"Southern, Barbeque, Sandwiches",4.0,1514
Wild Japanese BBQ & Shabu,"Hot Pot, Japanese, Barbeque",4.0,159
Outlaw Kitchens,"American (New), Cafes",5.0,195
Dim Sum Oriental Cuisine,Dim Sum,4.5,410
Mama's Cafe,"American (Traditional), Comfort Food",4.5,311
Best Quality Daughter,Asian Fusion,4.5,615
Chef’s Table,Mediterranean,4.5,136
Ida Claire,Southern,4.5,1181
La Birrieria,Tacos,4.5,56
Piranha Izakaya,"Ramen, Sushi Bars, Cocktail Bars",4.5,447
Wild Barley Kitchen & Brewery,"Brewpubs, Pizza, Bagels",4.5,106
Santa Diabla,Mexican,4.5,103
Tokyo Cowboy,"Asian Fusion, Cocktail Bars, American (New)",4.0,69
Wild Goji Restaurant & Bar,"Asian Fusion, Sushi Bars, Ramen",4.5,1196
Tipsy Cowgirl,"Barbeque, Cocktail Bars, Tacos",4.0,5
Gino's Deli Stop N Buy,"Delis, Cheesesteaks, Sandwiches",5.0,1967
Gus's World Famous Fried Chicken - San Antonio,"Chicken Shop, Comfort Food, Southern",4.5,418
Noods,"Food Trucks, Asian Fusion, Mexican",4.5,7
Jacked Potato,American (New),4.5,55
Postino The Rim,"Wine Bars, Italian, Breakfast & Brunch",4.5,186
Fredericksburgers,"Burgers, Fast Food",4.5,26
European Dumplings Cafe,"Ukrainian, Modern European, Soul Food",5.0,107
Curry Boys BBQ,"Thai, Barbeque, Noodles",4.5,248
Mr Teriyaki,"Japanese, Bubble Tea, Sushi Bars",4.5,68
Kettle & Wok,"Asian Fusion, Cafes",4.5,3
Cabo Bob's Burritos,Mexican,4.5,279
Ming's,"Asian Fusion, Chinese",4.5,297
Bojangles,"Chicken Wings, Breakfast & Brunch, American (Traditional)",3.0,58
Bilia Eatery & Coffee,"Breakfast & Brunch, Sandwiches, Latin American",5.0,236
