Name,Category,Review,Review Count
Canopy by Hilton San Antonio Riverwalk,"Hotels, Venues & Event Spaces",4.0,84
Hotel Emma,Hotels,4.5,268
Hotel Havana,Hotels,4.0,194
Drury Plaza Hotel Riverwalk - San Antonio,Hotels,4.0,386
Hyatt Regency Hill Country Resort and Spa,"Hotels, Venues & Event Spaces, Resorts",4.0,316
JW Marriott San Antonio Hill Country Resort & Spa,"Hotels, Venues & Event Spaces, Resorts",3.5,618
Omni La Mansion del Rio,"Hotels, Venues & Event Spaces",3.5,369
"Estancia del Norte San Antonio, Tapestry Collection by Hilton",Hotels,3.5,41
Hyatt Place San Antonio Airport/Quarry Market,Hotels,3.0,73
Courtyard San Antonio SeaWorld/Westover Hills,"Hotels, Venues & Event Spaces",3.5,89
Courtyard by Marriott San Antonio Medical Center,Hotels,2.5,48
Hotel Valencia Riverwalk,"Hotels, Venues & Event Spaces",4.0,531
Staybridge Suites - San Antonio,"Hotels, Venues & Event Spaces",4.0,31
DoubleTree by Hilton San Antonio Northwest,Hotels,4.0,8
Embassy Suites by Hilton San Antonio Airport,Hotels,3.5,102
Bonner Garden Bed & Breakfast,"Hotels, Bed & Breakfast",5.0,7
Staybridge Suites San Antonio-Airport,Hotels,3.5,43
Embassy Suites by Hilton San Antonio Riverwalk Downtown,Hotels,3.5,244
Drury Plaza Hotel San Antonio Airport,Hotels,4.0,87
The St Anthony Hotel,Hotels,4.0,320
Embassy Suites by Hilton San Antonio Landmark,Hotels,4.0,33
Candlewood Suites Building 2426,Hotels,4.0,31
Mokara Hotel and Spa,"Hotels, Venues & Event Spaces",4.5,172
La Quinta Inn by Wyndham San Antonio Vance Jackson,Hotels,2.0,31
Hyatt Regency San Antonio Riverwalk,"Hotels, Venues & Event Spaces",3.5,347
Hyatt Place San Antonio North/Stone Oak,Hotels,3.5,82
Hilton Garden Inn San Antonio Airport,Hotels,2.5,60
Embassy Suites by Hilton San Antonio Brooks Hotel & Spa,Hotels,4.0,59
La Cantera Resort & Spa,"Resorts, Day Spas",3.5,368
Naas Court Hotel,Hotels,1.0,3
DoubleTree by Hilton San Antonio Airport,Hotels,2.5,161
Menger Hotel,"Venues & Event Spaces, Hotels",3.5,385
Hilton San Antonio Hill Country,Hotels,2.5,219
InTown Suites,Hotels,3.5,10
SpringHill Suites San Antonio Northwest at the Rim,"Hotels, Venues & Event Spaces",3.5,25
Thompson San Antonio - Riverwalk,Hotels,3.5,71
Hyatt Vacation Club at Wild Oak Ranch,Resorts,3.5,91
Drury Plaza Hotel San Antonio North Stone Oak,Hotels,4.5,91
Aloft San Antonio Airport,"Hotels, Venues & Event Spaces",3.0,178
Woodspring Suites,Hotels,3.0,20
