Name,Category,Review,Review Count
The Beach Cottages,Hotels,4.5,259
Hampton Inn San Diego-Kearny Mesa,Hotels,4.0,185
Staypineapple - Hotel Z,Hotels,4.5,596
Moxy Hotel San Diego,Hotels,4.0,237
Holiday Inn Express & Suites San Diego - Mission Valley,Hotels,4.0,205
Courtyard San Diego Central,Hotels,3.5,220
Hilton Garden Inn San Diego Mission Valley Stadium,Hotels,3.0,140
SpringHill Suites Mission Valley,"Hotels, Venues & Event Spaces",4.0,122
"Carte Hotel San Diego Downtown, Curio Collection by Hilton",Hotels,3.5,223
Four Points by Sheraton San Diego,"Hotels, Venues & Event Spaces",2.5,394
The Sofia Hotel,Hotels,3.5,955
Residence Inn By Marriott San Diego Chula Vista,Hotels,4.0,43
Kings Inn San Diego,Hotels,4.0,720
Best Western Plus La Mesa San Diego,Hotels,3.5,91
Old Town Inn,Hotels,4.5,380
Marriott Marquis San Diego Marina,Hotels,3.5,1367
The Lodge at Torrey Pines,Hotels,4.5,342
Fairmont Grand Del Mar,Hotels,4.5,462
The Wayfarer San Diego,Hotels,4.0,313
San Diego Mission Bay Resort,"Hotels, Resorts, Venues & Event Spaces",3.0,272
Barona Resort & Casino,Resorts,3.5,1254
Bahia Resort Hotel,Hotels,3.5,1087
Hotel Indigo San Diego-Gaslamp Quarter,"Hotels, Venues & Event Spaces",4.0,992
La Valencia Hotel,Hotels,4.0,795
Extended Stay America - San Diego - Mission Valley - Stadium,Hotels,2.0,95
SpringHill Suites by Marriott San Diego Downtown/Bayfront,Hotels,4.0,237
Mudville Flats,Hotels,5.0,55
San Diego Marriott Mission Valley,Hotels,3.0,441
Ocean Beach Hotel,Hotels,3.5,298
Hilton San Diego Bayfront,Hotels,3.0,1588
The Pearl Hotel,"Hotels, Venues & Event Spaces",4.0,703
Motel 6,Hotels,2.5,56
TownePlace Suites by Marriott San Diego Central,Hotels,3.5,41
Catamaran Resort Hotel and Spa,"Hotels, Resorts",3.5,1060
Stardust Inn,Hotels,1.0,14
DoubleTree by Hilton Hotel San Diego - Mission Valley,Hotels,3.0,491
Hilton Garden Inn San Diego Old Town/SeaWorld Area,Hotels,3.0,236
Aunt Sally's Vacation Home & Breakfast,Vacation Rentals,5.0,6
Estancia La Jolla Hotel & Spa,"Hotels, Resorts",3.5,789
Vineyard Hacienda,"Venues & Event Spaces, Wedding Planning, Hotels",4.5,84
